ages,price,reviews,pieces,description,id,difficulty,theme,Licensed
14-Aug,49.99,7,521,Get all fired up at Garmadon’s Volcano Lair!,70631,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Aug,49.99,29,544,Take on Garmadon with the Green Ninja Mech Dragon!,70612,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Aug,39.99,NA,530,Attack the Sons of Garmadon underground dojo in Spinjitzu style!,70640,NA,NINJAGO®,Non-Licensed
14-Sep,39.99,4,552,Shoot on the go with Lloyd’s Ninja Nightcrawler!,70641,Challenging,NINJAGO®,Non-Licensed
14-Jul,29.99,3,308,Stage a high-speed bike showdown!,70639,Average,NINJAGO®,Non-Licensed
14-Aug,29.99,21,494,Smash the shark army out of the water with the Water Strider!,70611,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Jul,29.99,10,312,Battle against evil Jungle Garmadon on the jungle bridge!,70608,Easy,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Jul,29.99,6,341,Protect NINJAGO® City from flying Manta Ray Bomber attack!,70609,Easy,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Aug,29.99,7,341,Take on the tentacular Flying Jelly Sub with Jay!,70610,Average,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Jul,19.99,3,257,Pursue Luke Cunningham with Kai’s Katana V11!,70638,Average,NINJAGO®,Non-Licensed
14-Jul,19.99,8,217,Stop a Piranha Attack with Kai and Misako!,70629,Easy,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
14-Jul,19.99,18,233,Stop a crime in the NINJAGO® City street market!,70607,Easy,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
7-Apr,19.99,NA,131,Race against Chopper Maroon for the treasure map!,10755,NA,Juniors,Non-Licensed
14-Jun,9.99,1,48,Achieve Spinjitzu greatness with the Green Ninja!,70628,Very Easy,THE LEGO® NINJAGO® MOVIE™,Non-Licensed
